Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
France,Mil US$," 40,894.68 "," 43,953.42 "," 54,256.07 "," 61,518.46 "," 60,165.25 "," 62,052.49 "," 67,125.03 "," 70,586.03 "," 57,401.76 "," 54,140.07 "," 54,990.86 "," 50,862.38 "," 52,343.61 "
Germany,Mil US$," 31,579.33 "," 33,436.58 "," 39,449.55 "," 42,066.25 "," 41,865.28 "," 41,893.37 "," 46,097.60 "," 51,686.28 "," 50,452.64 "," 48,469.66 "," 49,867.31 "," 47,498.64 "," 48,805.95 "
Italy,Mil US$," 28,129.70 "," 30,087.40 "," 36,152.50 "," 39,777.51 "," 38,336.35 "," 37,597.29 "," 31,491.78 "," 35,636.06 "," 32,093.93 "," 29,978.36 "," 31,197.67 "," 26,873.30 "," 25,217.98 "
Spain,Mil US$," 9,355.09 "," 11,351.58 "," 13,068.62 "," 14,693.26 "," 14,497.87 "," 15,408.23 "," 17,286.49 "," 18,917.33 "," 17,135.37 "," 14,863.56 "," 14,096.26 "," 14,010.63 "," 12,769.07 "
Sweden,Mil US$," 4,961.10 "," 5,178.14 "," 6,189.57 "," 6,403.31 "," 6,350.98 "," 6,296.25 "," 7,010.46 "," 6,471.68 "," 5,312.05 "," 6,094.36 "," 6,953.38 "," 6,305.84 "," 6,522.41 "
United Kingdom,Mil US$," 46,618.99 "," 48,863.54 "," 54,603.10 "," 60,634.21 "," 67,710.40 "," 69,657.87 "," 79,288.97 "," 76,672.56 "," 64,819.08 "," 63,849.53 "," 65,752.26 "," 58,910.92 "," 60,428.45 "
Austria,Mil US$," 2,184.30 "," 2,278.08 "," 2,847.08 "," 3,144.69 "," 3,085.02 "," 2,979.64 "," 3,871.03 "," 4,085.48 "," 3,719.43 "," 3,706.74 "," 3,705.22 "," 3,238.83 "," 3,230.79 "
Belgium,Mil US$," 3,845.92 "," 3,923.48 "," 4,729.29 "," 5,085.81 "," 4,920.44 "," 4,903.15 "," 5,740.81 "," 6,863.13 "," 6,063.73 "," 5,528.34 "," 5,726.90 "," 5,236.50 "," 5,265.98 "
Denmark,Mil US$," 3,300.93 "," 3,457.86 "," 4,034.93 "," 4,402.35 "," 4,144.82 "," 4,561.47 "," 4,778.25 "," 5,278.91 "," 4,742.65 "," 4,709.56 "," 4,700.33 "," 4,487.30 "," 4,556.37 "
Finland,Mil US$," 1,765.27 "," 1,906.18 "," 2,692.17 "," 3,127.02 "," 3,222.51 "," 3,336.33 "," 3,413.26 "," 3,986.18 "," 3,910.11 "," 3,671.86 "," 4,175.35 "," 3,134.25 "," 3,262.67 "
Greece,Mil US$," 7,500.53 "," 5,650.21 "," 5,727.93 "," 6,881.38 "," 7,640.41 "," 8,087.44 "," 8,786.07 "," 10,353.41 "," 10,172.95 "," 7,816.04 "," 6,282.90 "," 5,521.25 "," 5,679.13 "
Ireland,Mil US$, 867.52 , 872.19 , 998.47 ," 1,111.62 "," 1,127.77 "," 1,135.65 "," 1,286.98 "," 1,532.37 "," 1,424.03 "," 1,298.54 "," 1,316.08 "," 1,163.42 "," 1,196.93 "
Luxembourg,Mil US$, 245.80 , 231.36 , 282.35 , 327.15 , 323.79 , 307.77 , 343.40 , 256.41 , 239.53 , 274.20 , 296.93 , 221.13 , 248.42 
Netherlands,Mil US$," 7,537.75 "," 7,908.90 "," 9,596.12 "," 10,675.46 "," 10,618.06 "," 11,154.40 "," 12,304.55 "," 13,083.60 "," 12,750.39 "," 11,668.30 "," 11,659.21 "," 10,511.46 "," 10,331.36 "
Portugal,Mil US$," 2,896.70 "," 2,362.14 "," 2,760.96 "," 3,241.53 "," 3,484.70 "," 3,405.87 "," 3,475.43 "," 3,850.78 "," 3,839.98 "," 3,750.98 "," 3,667.83 "," 3,093.98 "," 3,322.45 "
Bulgaria,Mil US$, 710.46 , 764.68 , 941.22 ," 1,018.04 "," 1,018.37 "," 1,023.78 "," 1,287.44 "," 1,202.71 "," 1,065.08 ", 961.57 , 809.74 , 718.88 , 752.08 
Cyprus,Mil US$, 429.75 , 315.39 , 363.00 , 410.35 , 443.80 , 436.18 , 442.44 , 476.87 , 149.00 , 163.54 , 161.40 , 143.47 , 150.00 
Czech Republic,Mil US$," 1,397.64 "," 1,701.36 "," 2,110.57 "," 2,165.95 "," 2,416.56 "," 2,622.30 "," 2,666.88 "," 3,213.46 "," 3,180.53 "," 2,733.62 "," 2,540.90 "," 2,229.02 "," 2,149.47 "
Estonia,Mil US$, 163.12 , 203.72 , 274.04 , 312.87 , 382.63 , 416.61 , 527.15 , 571.39 , 490.81 , 369.06 , 401.82 , 29.34 , 30.66 
Hungary,Mil US$," 1,553.35 "," 1,639.84 "," 2,004.01 "," 2,088.29 "," 2,117.58 "," 1,807.57 "," 2,159.67 "," 2,175.41 "," 1,660.99 "," 1,473.86 "," 1,469.92 "," 1,360.26 "," 1,211.86 "
Latvia,Mil US$, 179.92 , 293.58 , 363.96 , 415.68 , 457.83 , 539.69 , 583.41 , 645.35 , 400.49 , 286.92 , 305.75 , 254.86 , 292.05 
Lithuania,Mil US$, 322.17 , 361.34 , 478.26 , 496.10 , 516.94 , 552.66 , 640.95 , 727.67 , 568.89 , 451.43 , 463.28 , 334.62 , 354.50 
Malta,Mil US$, 34.80 , 36.15 , 43.85 , 51.55 , 65.45 , 53.64 , 57.67 , 64.27 , 65.96 , 62.40 , 66.00 , 50.96 , 59.55 
Poland,Mil US$," 4,718.58 "," 4,674.82 "," 5,170.37 "," 5,831.83 "," 6,752.44 "," 7,368.57 "," 9,089.08 "," 9,274.82 "," 8,152.83 "," 9,074.18 "," 9,233.18 "," 8,795.69 "," 9,101.65 "
Romania,Mil US$," 3,500.42 "," 3,047.43 "," 2,926.39 "," 3,103.00 "," 3,571.49 "," 3,683.03 "," 3,760.03 "," 3,772.56 "," 2,673.72 "," 2,365.08 "," 2,337.56 "," 2,425.64 "," 2,524.38 "
Slovakia,Mil US$, 738.37 , 786.14 ," 1,028.62 "," 1,067.65 "," 1,160.64 "," 1,205.59 "," 1,345.68 "," 1,502.22 "," 1,402.10 "," 1,170.55 "," 1,077.11 "," 1,026.32 ", 998.99 
Slovenia,Mil US$, 340.63 , 398.75 , 496.43 , 580.94 , 596.07 , 692.16 , 756.21 , 871.68 , 812.73 , 792.13 , 724.72 , 548.08 , 519.42 
Croatia,Mil US$, 903.85 ," 1,022.26 ", 948.76 , 905.91 , 903.36 ," 1,016.66 "," 1,126.32 "," 1,414.47 "," 1,197.55 "," 1,065.08 "," 1,127.59 ", 874.99 , 849.99 
Albania,Mil US$, 74.23 , 79.93 , 99.28 , 127.33 , 134.84 , 169.03 , 226.08 , 284.20 , 270.29 , 200.66 , 204.61 , 186.42 , 184.30 
Bosnia & Herzegovina,Mil US$,, 341.78 , 282.19 , 270.26 , 226.45 , 217.84 , 224.14 , 250.35 , 258.10 , 230.56 , 251.07 , 203.48 , 203.42 
Macedonia,Mil US$, 325.54 , 147.57 , 157.48 , 177.66 , 162.35 , 155.89 , 186.83 , 185.32 , 168.54 , 134.86 , 133.12 , 119.93 , 126.68 
Moldova,Mil US$, 17.43 , 19.67 , 20.14 , 17.78 , 22.85 , 30.36 , 31.79 , 41.12 , 33.34 , 22.11 , 23.47 , 22.81 , 23.04 
Montenegro,Mil US$,,,,,, 80.57 , 73.63 , 90.86 , 79.90 , 76.95 , 88.89 , 68.63 , 69.48 
Norway,Mil US$," 4,866.97 "," 6,835.87 "," 7,338.21 "," 7,503.38 "," 8,178.92 "," 6,484.23 "," 7,391.51 "," 7,292.26 "," 7,462.30 "," 7,338.30 "," 7,631.49 "," 7,328.99 "," 7,390.34 "
Serbia*,Mil US$," 1,734.32 "," 1,914.27 "," 1,801.12 "," 1,622.12 "," 1,194.72 "," 1,190.92 "," 1,493.94 "," 1,528.34 "," 1,217.66 "," 1,036.90 "," 1,063.76 ", 896.20 , 924.41 
Switzerland,Mil US$," 3,066.04 "," 3,192.15 "," 3,580.92 "," 3,804.44 "," 3,767.44 "," 3,523.83 "," 3,639.26 "," 4,126.41 "," 4,108.83 "," 4,147.13 "," 5,468.99 "," 4,592.83 "," 5,056.40 "
Turkey,Mil US$," 28,240.18 "," 21,387.05 "," 19,520.30 "," 18,001.40 "," 18,393.52 "," 18,879.79 "," 18,244.47 "," 20,002.94 "," 16,530.83 "," 17,446.38 "," 16,511.07 "," 14,796.55 "," 14,361.34 "
